Source,Name,Spectral_Type
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/mHOPS132_30102016_K_0091_spec_A0v.fits,HOPS_132,   
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/mHOPS194_30102016_K_0075_spec_A0v.fits,HOPS_194,
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/mHOPS294_20163010_K_0081_spec_A0v.fits,HOPS_294,
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/mHOPS357_20180115_K_0051_spec_A0v.fits,HOPS_357,
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/mHOPS368_20180115_K_0059_spec_A0v.fits,HOPS_368,
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/mHOPS369_20180117_K_0053_spec_A0v.fits,HOPS_369,
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/mHOPS370South_20190123_K_0075_spec_A0v.fits,HOPS_370S,
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/mHOPS370_20190123_K_0071_spec_A0v.fits,HOPS_370,
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/mHOPS386_20171228_K_0083_spec_A0v.fits,HOPS386,
C:/Users/Savio/Documents/GitHub/IGRINS-Spectra/IGRINS_Merged/mHOPS388_20181120_K_0091.fits,HOPS388,
